"","gene_id","annotation"
"133","ENSG00000284747","lncRNA"
"134","ENSG00000215912","protein_coding"
"135","ENSG00000120952","protein_coding"
"136","ENSG00000243073","protein_coding"
"137","ENSG00000142615","protein_coding"
"138","ENSG00000215704","protein_coding"
"139","ENSG00000065526","protein_coding"
"140","ENSG00000175756","protein_coding"
"141","ENSG00000229484","lncRNA"
"142","ENSG00000157916","protein_coding"
"143","ENSG00000157881","protein_coding"
"144","ENSG00000116213","protein_coding"
"145","ENSG00000283611","unitary_pseudogene"
"146","ENSG00000238290","lncRNA"
"147","ENSG00000225387","lncRNA"
"148","ENSG00000127463","protein_coding"
"149","ENSG00000048707","protein_coding"
"150","ENSG00000158748","protein_coding"
"151","ENSG00000235643","lncRNA"
"152","ENSG00000225196","processed_pseudogene"
"153","ENSG00000130762","protein_coding"
"154","ENSG00000187144","protein_coding"
"155","ENSG00000162444","protein_coding"
"156","ENSG00000279169","protein_coding"
"157","ENSG00000279625","TEC"
"158","ENSG00000180758","protein_coding"
"159","ENSG00000231219","unprocessed_pseudogene"
"160","ENSG00000229010","processed_pseudogene"
"161","ENSG00000184677","protein_coding"
"162","ENSG00000230679","lncRNA"
"163","ENSG00000270136","protein_coding"
"164","ENSG00000132879","protein_coding"
"165","ENSG00000187545","protein_coding"
"166","ENSG00000288398","lncRNA"
"167","ENSG00000224621","lncRNA"
"168","ENSG00000239810","protein_coding"
"169","ENSG00000285833","lncRNA"
"170","ENSG00000224459","lncRNA"
"171","ENSG00000116731","protein_coding"
"172","ENSG00000116721","protein_coding"
"173","ENSG00000215785","processed_pseudogene"
"174","ENSG00000131697","protein_coding"
"175","ENSG00000284692","lncRNA"
"176","ENSG00000284745","lncRNA"
"177","ENSG00000225952","lncRNA"
"178","ENSG00000280222","TEC"
"179","ENSG00000088280","protein_coding"
"180","ENSG00000188807","protein_coding"
"181","ENSG00000284693","lncRNA"
"182","ENSG00000232298","lncRNA"
"183","ENSG00000227634","lncRNA"
"184","ENSG00000225315","lncRNA"
"185","ENSG00000198793","protein_coding"
"186","ENSG00000078900","protein_coding"
"187","ENSG00000142661","protein_coding"
"188","ENSG00000285945","lncRNA"
"189","ENSG00000171819","protein_coding"
"190","ENSG00000229162","lncRNA"
"191","ENSG00000197921","protein_coding"
"192","ENSG00000233755","lncRNA"
"193","ENSG00000116288","protein_coding"
"194","ENSG00000238164","lncRNA"
"195","ENSG00000233929","processed_pseudogene"
"196","ENSG00000287810","unprocessed_pseudogene"
"197","ENSG00000271742","lncRNA"
"198","ENSG00000142677","protein_coding"
"199","ENSG00000131910","protein_coding"
"200","ENSG00000185436","protein_coding"
"201","ENSG00000131914","protein_coding"
"202","ENSG00000226396","processed_pseudogene"
"203","ENSG00000232423","protein_coding"
"204","ENSG00000229247","processed_pseudogene"
"205","ENSG00000169504","protein_coding"
"206","ENSG00000224311","lncRNA"
"207","ENSG00000225159","processed_pseudogene"
"208","ENSG00000260063","lncRNA"
"209","ENSG00000272088","lncRNA"
"210","ENSG00000228338","lncRNA"
"211","ENSG00000270728","processed_pseudogene"
"212","ENSG00000169641","protein_coding"
"213","ENSG00000181773","protein_coding"
"214","ENSG00000175707","protein_coding"
"215","ENSG00000241547","processed_pseudogene"
"216","ENSG00000224129","processed_pseudogene"
"217","ENSG00000234166","lncRNA"
"218","ENSG00000230228","processed_pseudogene"
"219","ENSG00000237436","lncRNA"
"220","ENSG00000233954","protein_coding"
"221","ENSG00000174950","protein_coding"
"222","ENSG00000235282","processed_pseudogene"
"223","ENSG00000055070","protein_coding"
"224","ENSG00000225891","lncRNA"
"225","ENSG00000175087","protein_coding"
"226","ENSG00000171735","protein_coding"
"227","ENSG00000157191","protein_coding"
"228","ENSG00000270733","processed_pseudogene"
"229","ENSG00000284699","lncRNA"
"230","ENSG00000133226","protein_coding"
"231","ENSG00000229985","processed_pseudogene"
"232","ENSG00000162482","protein_coding"
"233","ENSG00000230035","lncRNA"
"234","ENSG00000235185","lncRNA"
"235","ENSG00000236782","protein_coding"
"236","ENSG00000215910","protein_coding"
"237","ENSG00000116663","protein_coding"
"238","ENSG00000225643","lncRNA"
"239","ENSG00000215695","protein_coding"
"240","ENSG00000284666","lncRNA"
"241","ENSG00000243659","processed_pseudogene"
"242","ENSG00000240553","lncRNA"
"243","ENSG00000228943","processed_pseudogene"
"244","ENSG00000215906","protein_coding"
"245","ENSG00000230703","lncRNA"
"246","ENSG00000188822","protein_coding"
"247","ENSG00000232848","processed_pseudogene"
"248","ENSG00000234397","processed_pseudogene"
"249","ENSG00000090273","protein_coding"
"250","ENSG00000284309","lncRNA"
"251","ENSG00000227868","protein_coding"
"252","ENSG00000269925","lncRNA"
"253","ENSG00000142751","protein_coding"
"254","ENSG00000189266","protein_coding"
"255","ENSG00000162511","protein_coding"
"256","ENSG00000158014","protein_coding"
"257","ENSG00000204138","protein_coding"
"258","ENSG00000233419","processed_pseudogene"
"259","ENSG00000235263","lncRNA"
"260","ENSG00000228176","lncRNA"
"261","ENSG00000229106","processed_pseudogene"
"262","ENSG00000236155","transcribed_unprocessed_pseudogene"
"263","ENSG00000231251","processed_pseudogene"
"264","ENSG00000142675","protein_coding"
"265","ENSG00000197245","protein_coding"
"266","ENSG00000231949","lncRNA"
"267","ENSG00000261025","lncRNA"
"268","ENSG00000116237","protein_coding"
"269","ENSG00000158195","protein_coding"
"270","ENSG00000130772","protein_coding"
"271","ENSG00000215899","processed_pseudogene"
"272","ENSG00000237429","lncRNA"
"273","ENSG00000271398","lncRNA"
"274","ENSG00000225011","unprocessed_pseudogene"
"275","ENSG00000215905","processed_pseudogene"
"276","ENSG00000240731","lncRNA"
"277","ENSG00000235069","processed_pseudogene"
"278","ENSG00000172746","unprocessed_pseudogene"
"279","ENSG00000284676","lncRNA"
"280","ENSG00000237058","lncRNA"
"281","ENSG00000204160","protein_coding"
"282","ENSG00000233399","lncRNA"
"283","ENSG00000090020","protein_coding"
"284","ENSG00000225990","processed_pseudogene"
"285","ENSG00000157978","protein_coding"
"286","ENSG00000226944","lncRNA"
"287","ENSG00000158246","protein_coding"
"288","ENSG00000270282","processed_pseudogene"
"289","ENSG00000130770","protein_coding"
"290","ENSG00000117305","protein_coding"
"291","ENSG00000235131","lncRNA"
"292","ENSG00000229044","lncRNA"
"293","ENSG00000162512","protein_coding"
"294","ENSG00000179840","lncRNA"
"295","ENSG00000272449","lncRNA"
"296","ENSG00000214973","processed_pseudogene"
"297","ENSG00000198746","protein_coding"
"298","ENSG00000158006","protein_coding"
"299","ENSG00000188529","protein_coding"
"300","ENSG00000214812","processed_pseudogene"
"301","ENSG00000142784","protein_coding"
"302","ENSG00000230023","lncRNA"
"303","ENSG00000227950","processed_pseudogene"
"304","ENSG00000117682","protein_coding"
"305","ENSG00000175793","protein_coding"
"306","ENSG00000126698","protein_coding"
"307","ENSG00000229447","processed_pseudogene"
"308","ENSG00000229607","lncRNA"
"309","ENSG00000229994","processed_pseudogene"
"310","ENSG00000130766","protein_coding"
"311","ENSG00000168528","protein_coding"
"312","ENSG00000196581","protein_coding"
"313","ENSG00000169403","protein_coding"
"314","ENSG00000117676","protein_coding"
"315","ENSG00000198830","protein_coding"
"316","ENSG00000225126","lncRNA"
"317","ENSG00000084628","protein_coding"
"318","ENSG00000060688","protein_coding"
"319","ENSG00000236335","lncRNA"
"320","ENSG00000171612","protein_coding"
"321","ENSG00000241169","lncRNA"
"322","ENSG00000278572","unprocessed_pseudogene"
"323","ENSG00000227001","unprocessed_pseudogene"
"324","ENSG00000270927","processed_pseudogene"
"325","ENSG00000226698","lncRNA"
"326","ENSG00000284744","lncRNA"
"327","ENSG00000162458","protein_coding"
"328","ENSG00000188910","protein_coding"
"329","ENSG00000230523","lncRNA"
"330","ENSG00000186056","lncRNA"
"331","ENSG00000116138","protein_coding"
"332","ENSG00000231207","processed_pseudogene"
"333","ENSG00000142765","protein_coding"
"334","ENSG00000158161","protein_coding"
"335","ENSG00000270330","processed_pseudogene"
"336","ENSG00000142684","protein_coding"
"337","ENSG00000060642","protein_coding"
"338","ENSG00000224064","processed_pseudogene"
"339","ENSG00000234619","processed_pseudogene"
"340","ENSG00000121769","protein_coding"
"341","ENSG00000236963","lncRNA"
"342","ENSG00000232557","lncRNA"
"343","ENSG00000157330","protein_coding"
"344","ENSG00000162413","protein_coding"
"345","ENSG00000142627","protein_coding"
"346","ENSG00000284668","lncRNA"
"347","ENSG00000233234","lncRNA"
"348","ENSG00000142632","protein_coding"
"349","ENSG00000234593","lncRNA"
"350","ENSG00000162490","protein_coding"
"351","ENSG00000158292","protein_coding"
"352","ENSG00000270605","lncRNA"
"353","ENSG00000238199","processed_pseudogene"
"354","ENSG00000142733","protein_coding"
"355","ENSG00000189337","protein_coding"
"356","ENSG00000270601","protein_coding"
"357","ENSG00000233268","processed_pseudogene"
"358","ENSG00000232912","lncRNA"
"359","ENSG00000235084","processed_pseudogene"
"360","ENSG00000235143","lncRNA"
"361","ENSG00000225478","processed_pseudogene"
"362","ENSG00000225077","lncRNA"
"363","ENSG00000028137","protein_coding"
"364","ENSG00000223944","lncRNA"
"365","ENSG00000238249","processed_pseudogene"
"366","ENSG00000187952","processed_pseudogene"
"367","ENSG00000237938","lncRNA"
"368","ENSG00000227409","lncRNA"
"369","ENSG00000204464","lncRNA"
"370","ENSG00000233372","lncRNA"
"371","ENSG00000162460","protein_coding"
"372","ENSG00000283259","lncRNA"
"373","ENSG00000142687","protein_coding"
"374","ENSG00000284543","lncRNA"
"375","ENSG00000223382","lncRNA"
"376","ENSG00000226166","processed_pseudogene"
"377","ENSG00000130939","protein_coding"
"378","ENSG00000236216","processed_pseudogene"
"379","ENSG00000175147","lncRNA"
"380","ENSG00000236266","lncRNA"
"381","ENSG00000127472","protein_coding"
"382","ENSG00000231103","unprocessed_pseudogene"
"383","ENSG00000060656","protein_coding"
"384","ENSG00000163867","protein_coding"
"385","ENSG00000232768","processed_pseudogene"
"386","ENSG00000225294","processed_pseudogene"
"387","ENSG00000230214","processed_pseudogene"
"388","ENSG00000189280","protein_coding"
"389","ENSG00000134698","protein_coding"
"390","ENSG00000226487","lncRNA"
"391","ENSG00000134690","protein_coding"
"392","ENSG00000272420","lncRNA"
"393","ENSG00000224333","processed_pseudogene"
"394","ENSG00000226664","lncRNA"
"395","ENSG00000132881","protein_coding"
"396","ENSG00000273274","protein_coding"
"397","ENSG00000224321","processed_pseudogene"
"398","ENSG00000233621","lncRNA"
"399","ENSG00000228940","unprocessed_pseudogene"
"400","ENSG00000116251","protein_coding"
"401","ENSG00000272510","lncRNA"
"402","ENSG00000158286","protein_coding"
"403","ENSG00000236648","lncRNA"
"404","ENSG00000232273","processed_pseudogene"
"405","ENSG00000237276","transcribed_unprocessed_pseudogene"
"406","ENSG00000227959","lncRNA"
"407","ENSG00000009709","protein_coding"
"408","ENSG00000043514","protein_coding"
"409","ENSG00000186543","unprocessed_pseudogene"
"410","ENSG00000287396","lncRNA"
"411","ENSG00000231789","lncRNA"
"412","ENSG00000162510","protein_coding"
"413","ENSG00000179002","protein_coding"
"414","ENSG00000223589","processed_pseudogene"
"415","ENSG00000188984","protein_coding"
"416","ENSG00000229259","unprocessed_pseudogene"
"417","ENSG00000270171","lncRNA"
"418","ENSG00000158008","protein_coding"
"419","ENSG00000269732","processed_pseudogene"
"420","ENSG00000130940","protein_coding"
"421","ENSG00000116771","protein_coding"
"422","ENSG00000237301","lncRNA"
"423","ENSG00000162585","protein_coding"
"424","ENSG00000163879","protein_coding"
"425","ENSG00000227527","lncRNA"
"426","ENSG00000127129","protein_coding"
"427","ENSG00000228823","unprocessed_pseudogene"
"428","ENSG00000010803","protein_coding"
"429","ENSG00000229901","lncRNA"
"430","ENSG00000169991","protein_coding"
"431","ENSG00000116954","protein_coding"
"432","ENSG00000117013","protein_coding"
"433","ENSG00000228589","processed_pseudogene"
"434","ENSG00000163873","protein_coding"
"435","ENSG00000233431","lncRNA"
"436","ENSG00000117215","protein_coding"
"437","ENSG00000223583","processed_pseudogene"
"438","ENSG00000196449","protein_coding"
"439","ENSG00000250575","unprocessed_pseudogene"
"440","ENSG00000237700","protein_coding"
"441","ENSG00000253368","protein_coding"
"442","ENSG00000179862","protein_coding"
"443","ENSG00000116661","protein_coding"
"444","ENSG00000230163","lncRNA"
"445","ENSG00000287400","lncRNA"
"446","ENSG00000227538","processed_pseudogene"
"447","ENSG00000232208","processed_pseudogene"
"448","ENSG00000162461","protein_coding"
"449","ENSG00000236500","processed_pseudogene"
"450","ENSG00000044012","protein_coding"
"451","ENSG00000179051","protein_coding"
"452","ENSG00000215895","processed_pseudogene"
"453","ENSG00000231868","lncRNA"
"454","ENSG00000284650","lncRNA"
"455","ENSG00000237329","processed_pseudogene"
"456","ENSG00000236948","lncRNA"
"457","ENSG00000270850","processed_pseudogene"
"458","ENSG00000053372","protein_coding"
"459","ENSG00000287510","lncRNA"
"460","ENSG00000126067","protein_coding"
"461","ENSG00000274944","protein_coding"
"462","ENSG00000066136","protein_coding"
"463","ENSG00000132906","protein_coding"
"464","ENSG00000286668","lncRNA"
"465","ENSG00000197312","protein_coding"
"466","ENSG00000284748","lncRNA"
"467","ENSG00000272078","lncRNA"
"468","ENSG00000173660","protein_coding"
"469","ENSG00000224592","lncRNA"
"470","ENSG00000233728","lncRNA"
"471","ENSG00000230451","processed_pseudogene"
"472","ENSG00000215893","processed_pseudogene"
"473","ENSG00000231606","lncRNA"
"474","ENSG00000215900","processed_pseudogene"
"475","ENSG00000092847","protein_coding"
"476","ENSG00000284632","lncRNA"
"477","ENSG00000204510","protein_coding"
"478","ENSG00000241014","transcribed_unitary_pseudogene"
"479","ENSG00000054118","protein_coding"
"480","ENSG00000254553","protein_coding"
"481","ENSG00000230415","lncRNA"
"482","ENSG00000177181","protein_coding"
"483","ENSG00000284653","lncRNA"
"484","ENSG00000237749","processed_pseudogene"
"485","ENSG00000224863","lncRNA"
"486","ENSG00000276747","protein_coding"
"487","ENSG00000284705","lncRNA"
"488","ENSG00000287828","lncRNA"
"489","ENSG00000228776","processed_pseudogene"
"490","ENSG00000236009","lncRNA"
"491","ENSG00000228526","lncRNA"
"492","ENSG00000159339","protein_coding"
"493","ENSG00000284678","lncRNA"
"494","ENSG00000162373","protein_coding"
"495","ENSG00000223814","lncRNA"
"496","ENSG00000197982","protein_coding"
"497","ENSG00000225158","processed_pseudogene"
"498","ENSG00000261781","lncRNA"
"499","ENSG00000183317","protein_coding"
"500","ENSG00000250894","unprocessed_pseudogene"
"501","ENSG00000232022","transcribed_unprocessed_pseudogene"
"502","ENSG00000183386","protein_coding"
"503","ENSG00000284743","lncRNA"
"504","ENSG00000229528","lncRNA"
"505","ENSG00000158315","protein_coding"
"506","ENSG00000232514","processed_pseudogene"
"507","ENSG00000229213","unprocessed_pseudogene"
"508","ENSG00000243749","protein_coding"
"509","ENSG00000204084","protein_coding"
"510","ENSG00000286064","unprocessed_pseudogene"
"511","ENSG00000235358","lncRNA"
"512","ENSG00000186973","protein_coding"
"513","ENSG00000233118","processed_pseudogene"
"514","ENSG00000271806","lncRNA"
"515","ENSG00000142698","protein_coding"
"516","ENSG00000272084","lncRNA"
"517","ENSG00000146463","protein_coding"
"518","ENSG00000279214","TEC"
"519","ENSG00000183520","protein_coding"
"520","ENSG00000271164","processed_pseudogene"
"521","ENSG00000090686","protein_coding"
"522","ENSG00000085998","protein_coding"
"523","ENSG00000271741","protein_coding"
"524","ENSG00000226957","lncRNA"
"525","ENSG00000211454","polymorphic_pseudogene"
"526","ENSG00000214141","processed_pseudogene"
"527","ENSG00000142686","protein_coding"
"528","ENSG00000224751","processed_pseudogene"
"529","ENSG00000286597","lncRNA"
"530","ENSG00000279096","TEC"
"531","ENSG00000227857","lncRNA"
"532","ENSG00000213987","processed_pseudogene"
"533","ENSG00000117148","protein_coding"
"534","ENSG00000230585","processed_pseudogene"
"535","ENSG00000127125","protein_coding"
"536","ENSG00000197429","protein_coding"
"537","ENSG00000117000","protein_coding"
"538","ENSG00000284989","protein_coding"
"539","ENSG00000178585","protein_coding"
"540","ENSG00000231630","lncRNA"
"541","ENSG00000092853","protein_coding"
"542","ENSG00000255811","lncRNA"
"543","ENSG00000236253","transcribed_processed_pseudogene"
"544","ENSG00000198754","protein_coding"
"545","ENSG00000134697","protein_coding"
"546","ENSG00000187513","protein_coding"
"547","ENSG00000278139","protein_coding"
"548","ENSG00000238145","processed_pseudogene"
"549","ENSG00000225142","processed_pseudogene"
"550","ENSG00000230138","lncRNA"
"551","ENSG00000230116","processed_pseudogene"
"552","ENSG00000223390","lncRNA"
"553","ENSG00000285823","lncRNA"
"554","ENSG00000284720","lncRNA"
"555","ENSG00000225028","lncRNA"
"556","ENSG00000286640","transcribed_unprocessed_pseudogene"
"557","ENSG00000225671","processed_pseudogene"
"558","ENSG00000116151","protein_coding"
"559","ENSG00000226147","processed_pseudogene"
"560","ENSG00000182873","lncRNA"
"561","ENSG00000286518","lncRNA"
"562","ENSG00000178715","processed_pseudogene"
"563","ENSG00000284641","lncRNA"
"564","ENSG00000006555","protein_coding"
"565","ENSG00000236111","processed_pseudogene"
"566","ENSG00000066056","protein_coding"
"567","ENSG00000214114","protein_coding"
"568","ENSG00000173436","protein_coding"
"569","ENSG00000116544","protein_coding"
"570","ENSG00000231900","processed_pseudogene"
"571","ENSG00000236723","lncRNA"
"572","ENSG00000204060","protein_coding"
"573","ENSG00000232467","processed_pseudogene"
"574","ENSG00000186094","protein_coding"
"575","ENSG00000117016","protein_coding"
"576","ENSG00000270241","processed_pseudogene"
"577","ENSG00000121310","protein_coding"
"578","ENSG00000169213","protein_coding"
"579","ENSG00000229846","lncRNA"
"580","ENSG00000163866","protein_coding"
"581","ENSG00000225779","processed_pseudogene"
"582","ENSG00000236546","lncRNA"
"583","ENSG00000233114","processed_pseudogene"
"584","ENSG00000228436","lncRNA"
"585","ENSG00000284601","lncRNA"
"586","ENSG00000049249","protein_coding"
"587","ENSG00000284719","lncRNA"
"588","ENSG00000237130","processed_pseudogene"
"589","ENSG00000171793","protein_coding"
"590","ENSG00000116990","protein_coding"
"591","ENSG00000143001","protein_coding"
"592","ENSG00000229716","processed_pseudogene"
"593","ENSG00000236876","processed_pseudogene"
"594","ENSG00000226133","lncRNA"
"595","ENSG00000227416","processed_pseudogene"
"596","ENSG00000232335","lncRNA"
"597","ENSG00000260971","lncRNA"
"598","ENSG00000274386","protein_coding"
"599","ENSG00000259832","unprocessed_pseudogene"
"600","ENSG00000284696","lncRNA"
"601","ENSG00000238242","lncRNA"
"602","ENSG00000285839","protein_coding"
"603","ENSG00000237290","lncRNA"
"604","ENSG00000232762","lncRNA"
"605","ENSG00000117419","protein_coding"
"606","ENSG00000162384","protein_coding"
"607","ENSG00000162391","protein_coding"
"608","ENSG00000174348","protein_coding"
"609","ENSG00000154198","transcribed_unprocessed_pseudogene"
"610","ENSG00000117859","protein_coding"
"611","ENSG00000228121","processed_pseudogene"
"612","ENSG00000253313","protein_coding"
"613","ENSG00000040487","protein_coding"
"614","ENSG00000162396","protein_coding"
"615","ENSG00000203995","protein_coding"
"616","ENSG00000227742","transcribed_unitary_pseudogene"
"617","ENSG00000117713","protein_coding"
"618","ENSG00000230114","lncRNA"
"619","ENSG00000177868","protein_coding"
"620","ENSG00000284686","protein_coding"
"621","ENSG00000162378","protein_coding"
"622","ENSG00000233079","lncRNA"
"623","ENSG00000162599","protein_coding"
"624","ENSG00000259818","lncRNA"
"625","ENSG00000229444","lncRNA"
"626","ENSG00000240563","protein_coding"
"627","ENSG00000234318","lncRNA"
"628","ENSG00000284773","protein_coding"
"629","ENSG00000234481","lncRNA"
"630","ENSG00000117862","protein_coding"
"631","ENSG00000162551","protein_coding"
"632","ENSG00000235612","lncRNA"
"633","ENSG00000228369","lncRNA"
"634","ENSG00000183431","protein_coding"
"635","ENSG00000227485","lncRNA"
"636","ENSG00000224609","lncRNA"
"637","ENSG00000235545","lncRNA"
"638","ENSG00000236646","processed_pseudogene"
"639","ENSG00000169174","protein_coding"
"640","ENSG00000288527","processed_pseudogene"
"641","ENSG00000231252","lncRNA"
"642","ENSG00000232198","processed_pseudogene"
"643","ENSG00000236180","processed_pseudogene"
"644","ENSG00000231622","processed_pseudogene"
"645","ENSG00000238063","lncRNA"
"646","ENSG00000235804","processed_pseudogene"
"647","ENSG00000227104","transcribed_unprocessed_pseudogene"
"648","ENSG00000243725","protein_coding"
"649","ENSG00000116985","protein_coding"
"650","ENSG00000134716","protein_coding"
"651","ENSG00000171872","protein_coding"
"652","ENSG00000162407","protein_coding"
"653","ENSG00000285079","lncRNA"
"654","ENSG00000169218","protein_coding"
"655","ENSG00000163877","protein_coding"
"656","ENSG00000228929","processed_pseudogene"
"657","ENSG00000224570","processed_pseudogene"
"658","ENSG00000224980","processed_pseudogene"
"659","ENSG00000185031","processed_pseudogene"
"660","ENSG00000278967","TEC"
"661","ENSG00000157184","protein_coding"
"662","ENSG00000272491","lncRNA"
"663","ENSG00000198815","protein_coding"
"664","ENSG00000134744","protein_coding"
"665","ENSG00000226883","lncRNA"
"666","ENSG00000162437","protein_coding"
"667","ENSG00000233910","processed_pseudogene"
"668","ENSG00000287703","lncRNA"
"669","ENSG00000283039","protein_coding"
"670","ENSG00000229032","processed_pseudogene"
"671","ENSG00000229294","lncRNA"
"672","ENSG00000184292","protein_coding"
"673","ENSG00000187140","protein_coding"
"674","ENSG00000226754","lncRNA"
"675","ENSG00000228431","processed_pseudogene"
"676","ENSG00000279324","TEC"
"677","ENSG00000232993","lncRNA"
"678","ENSG00000234088","processed_pseudogene"
"679","ENSG00000186409","protein_coding"
"680","ENSG00000236973","processed_pseudogene"
"681","ENSG00000162595","protein_coding"
"682","ENSG00000227947","lncRNA"
"683","ENSG00000277397","unprocessed_pseudogene"
"684","ENSG00000271200","lncRNA"
"685","ENSG00000235446","lncRNA"
"686","ENSG00000261196","unprocessed_pseudogene"
"687","ENSG00000224209","lncRNA"
"688","ENSG00000171357","protein_coding"
"689","ENSG00000237853","lncRNA"
"690","ENSG00000162385","protein_coding"
"691","ENSG00000231413","lncRNA"
"692","ENSG00000234264","lncRNA"
"693","ENSG00000242391","lncRNA"
"694","ENSG00000086015","protein_coding"
"695","ENSG00000223883","lncRNA"
"696","ENSG00000284808","lncRNA"
"697","ENSG00000184588","protein_coding"
"698","ENSG00000242267","transcribed_unprocessed_pseudogene"
"699","ENSG00000237227","processed_pseudogene"
